% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.292
% Date:               Jun 1 2020, 20:14
% Dimension:          3
% Nodes:              3168
% Expressions:        5
% Description:        von Mises stress, Entity index, X-coordinate, Y-coordinate, Z-coordinate
% Length unit:        m
% X                       Y                        Z                        solid.mises (N/m^2)      dom                      X (m)                    Y (m)                    Z (m)
0                         0.10000000000000002      0                        10.000037725264947       1                        0                        0.10000000000000002      0
0.062053502697436404      0.06472036045735934      0                        10.00007192477891        1                        0.0620535026974364       0.06472036045735932      0
0                         0.06205350269743626      0.06472036045735934      9.99999412422292         1                        0                        0.06205350269743626      0.06472036045735932
0                         0                        0                        9.99998361234071         1                        0                        0                        0
0.04026572082373415       0.045813807137298664     0.10473781540395347      10.000050174986955       1                        0.04026572082373415      0.045813807137298664     0.1047378154039535
0                         0                        0.09999999999999998      10.000024102081492       1                        0                        0                        0.09999999999999998
0                         0.07230687138033452      0.14944266381316454      9.999978836896963        1                        0                        0.07230687138033452      0.14944266381316454
0                         0                        0.19999999999999996      9.999994502215708        1                        0                        0                        0.19999999999999996
0.06472053248057413       0                        0.06206940003054591      10.00008020641425        1                        0.06472053248057416      0                        0.062069400030545924
0.09999999999999998       0                        0                        10.000017956692536       1                        0.09999999999999998      0                        0
0.07641915651390142       0.12053513904388088      0.05473781540395346      9.999949413766938        1                        0.07641915651390142      0.12053513904388086      0.054737815403953484
0.08952358331832677       0                        0.14988327543226468      10.000006381840592       1                        0.08952358331832677      0                        0.14988327543226468
0                         0.1498760451532371       0.08956183566962488      10.00001273689127        1                        0                        0.14987604515323708      0.08956183566962485
0                         0.08313273503022969      0.24810613339018672      9.99997778750938         1                        0                        0.08313273503022968      0.2481061333901868
0.049980619803167106      0.1242864835279042       0.20014528679400706      9.999990162961723        1                        0.049980619803167106     0.12428648352790421      0.2001452867940071
0                         0.1600260383767001       0.2012185861434218       9.999981860808415        1                        0                        0.1600260383767001       0.20121858614342172
0.05969551878260006       0.08429948905692443      0.2683872387357322       9.999975767415647        1                        0.05969551878260006      0.08429948905692443      0.2683872387357322
0                         0                        0.29999999999999993      9.999987562373656        1                        0                        0                        0.2999999999999999
0.08233226909461479       0                        0.25541575158112695      9.999926375168988        1                        0.08233226909461479      0                        0.2554157515811269
0.04506208874511742       0.1938434889973622       0.11552697048860841      9.999993094946023        1                        0.04506208874511742      0.19384348899736226      0.11552697048860842
0                         0.22952061558653702      0.15752829557866713      9.999975196053656        1                        0                        0.22952061558653708      0.15752829557866715
0.060139370006042095      0.1974766826495407       0.05045443216666125      9.9999950100344          1                        0.060139370006042095     0.19747668264954077      0.05045443216666124
0                         0.2                      0                        10.000049729832954       1                        0                        0.19999999999999998      0
0.07230687138033452       0.1494426638131644       0                        9.999995307307973        1                        0.07230687138033452      0.14944266381316446      0
0.08313273503022969       0.24810613339018678      0                        10.000020802113992       1                        0.08313273503022968      0.2481061333901868       0
0.19999999999999996       0                        0                        9.999995555969223        1                        0.19999999999999996      0                        0
0.14987604515323696       0.0895618356696248       0                        9.999990804921945        1                        0.149876045153237        0.08956183566962482      0
0.14944587340002755       0                        0.07231280551895573      9.999959025100669        1                        0.14944587340002752      0                        0.07231280551895572
0.09996123960633421       0.08854692867910825      0.19907198744459237      9.999974243600848        1                        0.09996123960633425      0.08854692867910828      0.19907198744459248
0.08053144164746824       0.09162761427459738      0.10947563080790693      9.999985280553725        1                        0.08053144164746827      0.09162761427459735      0.10947563080790697
